r,Project,Status,Start Date,End Date ,Result ,Notes
fixed scry-node view link in PR Message,scry-node,Done,1/5/2026,1/5/2026,url now points to view.scrymore.com,
removed user info from dashboard sidepanel,scry-developer-dashboard,Done,1/5/2026,1/5/2026,removed user info from dashboard sidepanel,
update the yml to use @scrymore/scry-uploader,scry-developer-dashboard,Done,1/5/2026,1/5/2026,github actions for deployment now uses scrymore/scry-deployer,
create scry-sbcov repo,,,1/6/2026,,,
create scry-sbcov ,scry-sbcov,Done,1/6/2026,1/6/2026,created the scry-sbcov,created with claude https://github.com/epinnock/scry-sbcov
publish scry-sbcov repo to npm,scry-sbcov,Done,1/6/2026,1/6/2026,,
setup stage firebase,scry-dashboard ,Done,1/7/2026,1/7/2026,,
release scrymore/scry-deployer 0.0.5,scry-node,Done,1/12/2026,1/12/2026,,added scry-sbcov 0.2.1 as a dependency
release scrymore/scry-sbcov 0.2.1,scry-sbcov,Done,1/12/2026,1/12/2026,,
create storybook coverage report dashboard ui,scry-develover-dashboard/scry-sbcov,Done,1/6/2026,1/11/2026,Done in local need to deploy to prod,
integrate storybook coverage report in developer dashboard,scry-developer-dashboard,Done,1/10/2026,1/11/2026,Done in local need to deploy to prod,
integrate storybook coverage report in firebase,scry-developer-dashboard/scry-storybook-upload-service,Done,1/10/2026,1/11/2026,Done is scry-devdashboard-stage need to deploy to prod firebase project,
integrate storybook coverage with scry-node ci github action,scry-node ,Done,1/10/2026,1/11/2026,Done in deployed scry-node need to validate in production ,
set up sentry  in developer dashboard,scry-developer-dashboard,Done,1/12/2026,1/12/2026,set up with a single prod key may in the future change to have one for different envs but does not seem needed,
set up sentry for node cli,scry-node ,Done,1/12/2026,1/12/2026,,
deploy the scry-cdn-serice to prod,scry-cdn-service,Done,1/13/2026,1/13/2026,set up github actions,
deploy the scry-upload-service to prod,scry-storybook-upload-service,Done,1/14/2026,1/14/2026,,
fix and deploy firebase helper,scry-storybook-upload-service,Done,1/14/2026,1/15/2026,we are using firebase rest api for speed ended up spending a whole day debugging,
deploy the scry-dev-dashboard to prod,scry-developer-dashboard,Done,1/14/2026,1/15/2026,,
define architecture for private projects and resources,scry-dashboard/veiwer/upload service,Done,1/15/2026,1/15/2026,,
implement private project ,scry-dashboard/veiwer/upload service,Done,1/15/26,1/17/26,,
set up preview deployments for upload-service,scry-storybook-upload-service,Done,1/16/26,,,
see about link in github pr message still incorrectly formatted may be due to version,"scry-developer-dashboard,scry-node",Done,1/24/2026,1/25/2026,,
set up teams memberships plan,scry-developer-dashboard,Done,1/17/2026,1/20/2026,,
fix ux and ui issues related to coverage report ,"scry-developer-dashboard, scry-node",Done,1/23/2026,1/25/2026,report is not showing overall coverage row item ui is confusing,
release scrymore/scry-sbcov 0.2.2,scry-sbcov,Done,1/22/2026,1/24/2026,,
release scrymore/scry-deployer 0.1.0,scry-node,Done,1/22/2026,1/24/2026,,added scry-sbcov 0.2.1 as a dependency
Create HTML to Figma Library	Done	1/20/2026	1/30/2026,html-to-figma,Done        1/20/2026        1/30/2026,1/20/2026,1/30/2026,,
Create Scry Storybook Add-on                Done        1/20/2026        1/30/2026,scry-storybook-add-on,Done,1/27/2026,1/30/2026,,
Create Scry Figma plugin        Done        1/20/2026        1/30/2026,scry-link,Done,1/27/2026,1/30/2026,,
Implement HTML to Figma or implement Storybook to Figma in Scribe plugin     ,"scry-link, html-to-figma",Done,1/27/2026,1/30/2026,,
set up scrymore.com email routing,scry,Pending,,,,
set up posthog for tracking in developer dashboard,scry-developer-dashboard,Pending,,,,
set up posthog for tracking in cli,scry-node ,Pending,,,,
set up sentry for scry-storybook-upload-service,scry-storybook-upload-service,Pending,,,,
set up sentry for scry-viewer-service,scry-viewer-service,Pending,,,,
rename the scry-viewer-service from scry-cdn-service,scry-viewer-service,,,,,
fork monet and set up storybook and scry,,,,,,
remove the github stars from the landing page,scry-landing-page,Pending,1/6/2026,,,
set up google drive sync with scry-server,scry-management,Pending,,,,
create analysis-service,scry-analysis-service,,,,need to work on setting up service for complete full analysis,
complete local e2e testing setup,scry-dashboard/veiwer/upload service/cli,Pending,,,,
complete stage e2e testing setup,scry-dashboard/veiwer/upload service/cli,Pending,,,,
complete prod e2e testing setup,scry-dashboard/veiwer/upload service/cli,Pending,,,,
update the bucket names from my-storybooks-,upload-service/viewer,Pending,,,,
clone items from mobbin,,,,,,
fix /latest route not returning anything /main is working ,scry-cdn-sevice,Pending,,,discovered 1/17/26,
set up sonar like quality gates and coverage as part on prs and precomit hooks ,all projects,Pending,,,,
support other forms of login currently github only,,,,,,
take a look at https://app.marker.io/,marker.io need to see if this would be a good feature ,Pending,1/19/2026,,,
add 3 latest builds to recent activity on project detail overview,scry-developer-dashboard,Pending,1/25/2026,,,
deploy figma-scry,html-to-figma ,Pending,1/30,,it needs to be a private repo see what options github has,
possibly split the figma scry library?,html-to-figma ,Pending,1/30,,this is all predicated on trying to keep scry-figma private since that's big alpha for now,
create plan for integrating gh app for repo access,storybook-addon (new cloudflare worker),Pending,1/30,,don't want to expose the scry-figma source best to call from service ,
create flow for creating new github issues from scry application,,,,,,
create way to create ticket from figma app,,,,,,
add scry-ops to the list of repos we can edit,scry-ops,Pending,2/13/2026,,,
add a scripts to pull all the repos locally,scry-ops,Pending,2/13/2026,,,